ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
15|http://www.hauderer.de/|HT015305852|J|8640|null|/storage/gather/rlb01_20070927065703|10.10.2007 09:05:21|04.11.2014 16:50:33|04.11.2014 17:04:08|null|S |5843578|AK|null|null|null|null
14|http://www.kirchenkreis-koblenz.de/|HT015305832|J|4320|6|/storage/gather/rlb01_20070927065603|27.05.2013 10:12:40|15.12.2013 16:10:49|17.12.2013 16:01:48|null|S |5423871|AK|null|null|null|null
16|http://www.st-ignatius.de/|HT015305868|J|8640|null|/storage/gather/rlb01_20070927065804|10.10.2007 09:09:54|22.05.2014 18:40:24|05.06.2014 12:31:39|null|S |5631447|AK|null|null|null|null
17|http://www.hammes-meiner.de/|null|J|8640|null|/storage/gather/rlb01_20090617164241|27.09.2007 06:58:49|30.06.2011 12:52:41|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20090617164241|NI|null|AK|null|null|null|null
18|http://www.peter-bares.de/|HT015305889|J|2160|null|/storage/gather/rlb01_20070927085704|10.10.2007 09:16:35|16.02.2015 18:40:39|16.02.2015 18:53:21|null|S |6018396|AK|null|null|null|null
221|http://www.brigitte-struif.de/|HT015397626|J|8640|null|/storage/gather/rlb01_20080111083806|11.01.2008 08:58:33|14.12.2013 18:05:51|03.01.2014 14:23:19|null|S |5433288|AK|11.01.2008 08:37:24|null|null|null
461|www.abentheuer.de|TT002234571|J|8640|null|/storage/gather/rlb01_20090415150609|26.05.2009 08:44:30|23.06.2014 17:10:44|23.06.2014 17:22:34|null|S |5649472|AK|15.04.2009 15:05:23|null|null|null
521|http://www.uni-koblenz.de/FB4/Publications/Reports|null|J|4320|null|/storage/gather/rlb01_20090507081208|07.05.2009 08:11:24|07.05.2009 08:17:12|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20090507081208|NI|null|AK|07.05.2009 08:11:24|null|null|null
681|www.dirx.de|HT016158053|N|null|null|/storage/gather/rlb01_20091204110808|04.12.2009 11:07:42|04.12.2009 11:08:17|04.12.2009 11:09:30|null|S |3336625|AK|04.12.2009 11:07:42|null|null|null
682|www.dirx.de|HT016158059|J|4320|null|/storage/gather/rlb01_20091204111808|04.12.2009 11:17:29|02.06.2010 12:19:18|04.12.2009 11:20:29|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091204111808|NI|3336630|AK|04.12.2009 11:17:29|null|null|null
701|www.landeshauptarchiv.de|null|J|4320|6|/storage/gather/rlb01_20091217083111|13.05.2013 11:31:29|17.12.2009 10:21:02|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217083111|NI|null|AK|17.12.2009 08:30:44|null|null|null
1103|http://www.laermkartierung.rlp.de/|null|J|8640|null|/storage/gather/rlb01_20110404150516|04.04.2011 15:04:27|04.04.2011 15:05:19|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20110404150516|NI|null|AK|04.04.2011 15:04:27|null|null|null
703|http://www.vg-montabaur.de/|null|J|8640|null|/storage/gather/rlb01_20091217083311|17.12.2009 08:32:50|17.12.2009 10:28:36|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217083311|NI|null|AK|17.12.2009 08:32:50|null|null|null
704|http://www.burgdirekt.de/|null|J|4320|null|/storage/gather/rlb01_20091217083512|17.12.2009 08:34:06|17.12.2009 08:35:39|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217083512|NI|null|AK|17.12.2009 08:34:06|null|null|null
705|http://www.museum.moselweiss.de/|null|J|8640|null|/storage/gather/rlb01_20091217083712|17.12.2009 08:36:08|17.12.2009 08:37:53|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217083712|NI|null|AK|17.12.2009 08:36:08|null|null|null
706|http://www.koblenzerstadtfotograf.de|null|J|8640|null|/storage/gather/rlb01_20091217084213|17.12.2009 08:41:53|17.12.2009 08:44:11|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217084213|NI|null|AK|17.12.2009 08:41:53|null|null|null
709|http://www.mkn-koblenz.de|null|J|4320|null|/storage/gather/rlb01_20091217090413|17.12.2009 09:04:02|17.12.2009 22:42:10|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217090413|NI|null|AK|17.12.2009 09:04:02|null|null|null
1202|http://www.koblenz.de/verwaltung_politik/k10stat_statistische_informationen.html|HT016968649|J|2160|null|/storage/gather/rlb01_20120921192028|19.09.2011 16:04:16|22.12.2014 12:20:49|22.12.2014 12:34:51|null|S |5938623|AK|19.09.2011 16:04:16|null|null|null
710|http://wiki.westerwald-gymnasium.de|null|J|4320|null|/storage/gather/rlb01_20091217101013|17.12.2009 10:09:06|30.06.2011 18:42:01|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217101013|NI|null|AK|17.12.2009 10:09:06|null|null|null
723|http://www.bretzenheim.de/|null|J|8640|null|/storage/gather/rlb01_20091218081015|18.12.2009 08:09:13|18.12.2009 08:10:56|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091218081015|NI|null|AK|18.12.2009 08:09:13|null|null|null
724|http://familien-in-lahnstein.de/|null|J|8640|null|/storage/gather/rlb01_20091218081417|18.12.2009 08:13:36|18.12.2009 08:14:42|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091218081417|NI|null|AK|18.12.2009 08:13:36|null|null|null
726|http://bildung-rp.de/ |null|J|8640|null|/storage/gather/rlb01_20091218081816|18.12.2009 08:17:42|25.06.2012 19:42:07|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091218081816|NI|null|AK|18.12.2009 08:17:42|null|null|null
761|www.29er-ehrenmal-rheinbrohl.de|HT016333759|J|8640|null|/storage/gather/rlb01_20091228140733|27.04.2010 07:35:41|03.12.2014 14:30:36|18.12.2013 15:12:53|null|GF|5423928|AK|28.12.2009 14:06:42|null|null|null
762|www.29er-regimentsgeschichte.de|HT016333761|J|8640|null|/storage/gather/rlb01_20091228140932|27.04.2010 07:40:33|03.12.2014 09:50:35|03.12.2014 10:01:38|null|S |5900364|AK|28.12.2009 14:09:07|null|null|null
821|http://www.westerwald-querbahn.de/|null|J|8640|null|/storage/gather/rlb01_20100106083912|06.01.2010 08:38:24|06.01.2010 08:42:52|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100106083912|NI|null|AK|06.01.2010 08:38:24|null|null|null
861|http://www.kaiser-ruprecht-bruderschaft.de/|null|J|8640|null|/storage/gather/rlb01_20100115092813|15.01.2010 09:27:23|15.01.2010 09:29:01|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100115092813|NI|null|AK|15.01.2010 09:27:23|null|null|null
905|http://wiki.westerwald-gymnasium.de/|null|J|4320|null|/storage/gather/rlb01_20100119112714|19.01.2010 11:26:29|30.06.2011 18:41:52|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100119112714|NI|null|AK|19.01.2010 11:26:29|null|null|null
