Label;WGL-contributor;DNB-Link
AIP - Leibniz-Institut für Astrophysik Potsdam;AIP ;http://d-nb.info/gnd/1032734787
ARL - Akademie für Raumforschung und Landesplanung - Leibniz-Forum für Raumwissenschaften;ARL ;http://d-nb.info/gnd/37457-X
ATB - Leibniz-Institut für Agrartechnik und Bioökonomie e.V.;ATB ;http://d-nb.info/gnd/1119361486
BIPS - Leibniz-Institut für Präventionsforschung und Epidemiologie - BIPS GmbH;BIPS ;http://d-nb.info/gnd/1043624465
BNITM - Bernhard-Nocht-Institut für Tropenmedizin ;BNITM ;http://d-nb.info/gnd/5279549-4
DBM - Deutsches Bergbau-Museum Bochum - Leibniz-Forschungsmuseum für Georessourcen ;DBM ;http://d-nb.info/gnd/1042348-5
DDZ - Deutsches Diabetes-Zentrum - Leibniz-Zentrum für Diabetes-Forschung an der Heinrich-Heine-Universität Düsseldorf ;DDZ ;http://d-nb.info/gnd/16332572-8
DFA - Deutsche Forschungsanstalt für Lebensmittelchemie ;DFA ;http://d-nb.info/gnd/16155791-0
DIE - Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen ;DIE ;http://d-nb.info/gnd/16176906-8
DIfE - Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke ;DIfE ;http://d-nb.info/gnd/5118980-X
DIPF - Deutsches Institut für Internationale Pädagogische Forschung ;DIPF ;http://d-nb.info/gnd/2008671-4
DIW - Deutsches Institut für Wirtschaftsforschung ;DIW ;http://d-nb.info/gnd/37419-2
DM - Deutsches Museum ;DM ;http://d-nb.info/gnd/1007827-7
DPZ - Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung ;DPZ ;http://d-nb.info/gnd/3002218-6
DRFZ - Deutsches Rheuma-Forschungszentrum Berlin ;DRFZ ;http://d-nb.info/gnd/5305173-7
DSM - Deutsches Schiffahrtsmuseum - Leibniz-Institut für deutsche Schifffahrtsgeschichte ;DSM ;http://d-nb.info/gnd/2008892-9
DSMZ - Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH ;DSMZ ;http://d-nb.info/gnd/5019355-7
DWI - Leibniz-Institut für Interaktive Materialien;DWI ;http://d-nb.info/gnd/1052225616
FBH - Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik ;FBH ;http://d-nb.info/gnd/16089664-2
FBN - Leibniz-Institut für Nutztierbiologie ;FBN ;http://d-nb.info/gnd/16072459-4
FIZ KA - FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur ;FIZ KA ;http://d-nb.info/gnd/16099228-X
FLI - Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut ;FLI ;http://d-nb.info/gnd/1124471707
FMP - Leibniz-Institut für Molekulare Pharmakologie ;FMP ;http://d-nb.info/gnd/10196210-1
FZB - Forschungszentrum Borstel - Leibniz-Zentrum für Medizin und Biowissenschaften ;FZB ;http://d-nb.info/gnd/5174043-6
GEI - Georg-Eckert-Institut - Leibniz-Institut für internationale Schulbuchforschung ;GEI ;http://d-nb.info/gnd/1044305584
GESIS - Leibniz-Institut für Sozialwissenschaften ;GESIS ;http://d-nb.info/gnd/16015541-1
GIGA - German Institute of Global and Area Studies / Leibniz-Institut für Globale und Regionale Studien ;GIGA ;http://d-nb.info/gnd/10126944-4
GNM - Germanisches Nationalmuseum ;GNM ;http://d-nb.info/gnd/36441-1
GWZO - Leibniz-Institut für Geschichte und Kultur des östlichen Europa ;GWZO ;http://d-nb.info/gnd/1135144311
HI - Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz-Gemeinschaft ;HI ;http://d-nb.info/gnd/3024025-6
HKI - Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut ;HKI ;http://d-nb.info/gnd/6057389-2
HPI - Heinrich-Pette-Institut - Leibniz-Institut für Experimentelle Virologie ;HPI ;http://d-nb.info/gnd/16167877-4
HSFK - Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung ;HSFK ;http://d-nb.info/gnd/2033778-4
IAMO - Leibniz-Institut für Agrarentwicklung in Transformationsökonomien ;IAMO ;http://d-nb.info/gnd/1046298321
IAP - Leibniz-Institut für Atmosphärenphysik an der Universität Rostock ;IAP ;http://d-nb.info/gnd/10165507-1
IDS - Institut für Deutsche Sprache ;IDS ;http://d-nb.info/gnd/2013759-X
IEG - Leibniz-Institut für Europäische Geschichte ;IEG ;http://d-nb.info/gnd/16340410-0
IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund ;IfADo ;http://d-nb.info/gnd/16152455-2
IfL - Leibniz-Institut für Länderkunde ;IfL ;http://d-nb.info/gnd/10065153-7
ifo - ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e. V. ;ifo ;http://d-nb.info/gnd/16345994-0
IfW - Institut für Weltwirtschaft ;IfW ;http://d-nb.info/gnd/1007681-5
IFW - Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden ;IFW ;http://d-nb.info/gnd/10038043-8
IfZ - Institut für Zeitgeschichte München - Berlin ;IfZ ;http://d-nb.info/gnd/2014524-X
IGB - Leibniz-Institut für Gewässerökologie und Binnenfischerei ;IGB ;http://d-nb.info/gnd/10025895-5
IGZ - Leibniz-Institut für Gemüse- und Zierpflanzenbau ;IGZ ;http://d-nb.info/gnd/16020644-3
IHP - Leibniz-Institut für innovative Mikroelektronik ;IHP ;http://d-nb.info/gnd/6037010-5
IKZ - Leibniz-Institut für Kristallzüchtung ;IKZ ;http://d-nb.info/gnd/16175475-2
INM - Leibniz-Institut für Neue Materialien ;INM ;http://d-nb.info/gnd/10123313-9
INP - Leibniz-Institut für Plasmaforschung und Technologie ;INP ;http://d-nb.info/gnd/10360413-3
IOM - Leibniz-Institut für Oberflächenmodifizierung ;IOM ;http://d-nb.info/gnd/10168766-7
IÖR - Leibniz-Institut für ökologische Raumentwicklung ;IÖR ;http://d-nb.info/gnd/10061827-3
IOS - Leibniz-Institut für Ost- und Südosteuropaforschung ;IOS ;http://d-nb.info/gnd/1131732642
IOW - Leibniz-Institut für Ostseeforschung Warnemünde ;IOW ;http://d-nb.info/gnd/10353244-4
IPB - Leibniz-Institut für Pflanzenbiochemie ;IPB ;http://d-nb.info/gnd/10140857-2
IPF - Leibniz-Institut für Polymerforschung Dresden ;IPF ;http://d-nb.info/gnd/10095026-7
IPHT - Leibniz-Institut für Photonische Technologien ;IPHT ;http://d-nb.info/gnd/1069207349
IPK - Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung ;IPK ;http://d-nb.info/gnd/10201111-4
IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik ;IPN ;http://d-nb.info/gnd/4073385-3
IRS - Leibniz-Institut für Raumbezogene Sozialforschung ;IRS ;http://d-nb.info/gnd/1100932461
ISAS - Leibniz-Institut für Analytische Wissenschaften - ISAS - e. V. ;ISAS ;http://d-nb.info/gnd/16090656-8
IUF - Leibniz-Institut für umweltmedizinische Forschung;IUF ;http://d-nb.info/gnd/1075931290
IWH - Leibniz-Institut für Wirtschaftsforschung Halle ;IWH ;http://d-nb.info/gnd/1069182672
IWM - Leibniz-Institut für Wissensmedien ;IWM ;http://d-nb.info/gnd/1072317591
IZW - Leibniz-Institut für Zoo- und Wildtierforschung ;IZW ;http://d-nb.info/gnd/10174100-5
KIS - Kiepenheuer-Institut für Sonnenphysik ;KIS ;http://d-nb.info/gnd/10066383-7
LIAG - Leibniz-Institut für Angewandte Geophysik ;LIAG ;http://d-nb.info/gnd/16178962-6
LIfBi - Leibniz-Institut für Bildungsverläufe ;LIfBi ;http://d-nb.info/gnd/1051827892
LIKAT - Leibniz-Institut für Katalyse e. V. an der Universität Rostock ;LIKAT ;http://d-nb.info/gnd/10150004-X
LIN - Leibniz-Institut für Neurobiologie ;LIN ;http://d-nb.info/gnd/2169938-0
LZI - Schloss Dagstuhl - Leibniz-Zentrum für Informatik ;LZI ;http://d-nb.info/gnd/10348416-4
MBI - Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie ;MBI ;http://d-nb.info/gnd/5227880-3
MfN - Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung ;MfN ;http://d-nb.info/gnd/37657-7
MFO - Mathematisches Forschungsinstitut Oberwolfach ;MFO ;http://d-nb.info/gnd/2018983-7
PDI - Paul-Drude-Institut für Festkörperelektronik ;PDI ;http://d-nb.info/gnd/5240911-9
PIK - Potsdam-Institut für Klimafolgenforschung ;PIK ;http://d-nb.info/gnd/1800081-2
RGZM - Römisch-Germanisches Zentralmuseum - Leibniz-Forschungsinstitut für Archäologie ;RGZM ;http://d-nb.info/gnd/4028138-3
RWI - Leibniz-Institut für Wirtschaftsforschung, Essen;RWI ;http://d-nb.info/gnd/1114189359
SGN - Senckenberg Gesellschaft für Naturforschung ;SGN ;http://d-nb.info/gnd/16018966-4
TIB - Technische Informationsbibliothek - Leibniz-Informationszentrum Technik und Naturwissenschaften ;TIB ;http://d-nb.info/gnd/1080328793
TROPOS - Leibniz-Institut für Troposphärenforschung ;TROPOS ;http://d-nb.info/gnd/10169942-6
WIAS - Weierstraß-Institut für Angewandte Analysis und Stochastik Leibniz-Institut im Forschungsverbund Berlin e. V. ;WIAS ;http://d-nb.info/gnd/2140666-2
